Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
25/03/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
31/03/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/04/2007,MER,PM2.5,12,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/04/2007,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/04/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/04/2007,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/04/2007,MER,PM2.5,35,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/05/2007,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/05/2007,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/05/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/05/2007,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/06/2007,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/06/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/06/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/06/2007,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/06/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/07/2007,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/07/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/07/2007,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/07/2007,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/07/2007,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/08/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/08/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/08/2007,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/08/2007,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/08/2007,MER,PM2.5,12,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/09/2007,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/09/2007,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/09/2007,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/09/2007,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/10/2007,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/10/2007,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/10/2007,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/10/2007,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/11/2007,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/11/2007,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/11/2007,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/11/2007,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/12/2007,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/12/2007,MER,PM2.5,42,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/12/2007,MER,PM2.5,45,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/12/2007,MER,PM2.5,41,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/01/2008,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/01/2008,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/01/2008,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/01/2008,MER,PM2.5,30,2,Merced,-99.119594,19.42461,2245.0,,484090170127
31/01/2008,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/02/2008,MER,PM2.5,29,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/02/2008,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/02/2008,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/03/2008,MER,PM2.5,24,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/03/2008,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/03/2008,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/03/2008,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
